person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_income_clipped,income_loan_ratio,income_emp_length_ratio,loan_credit_hist_ratio
26,31000,MORTGAGE,5.0,EDUCATION,B,4000,10.33,0,0.13,N,2,31000.0,7.75,6200.0,2000.0
22,31000,MORTGAGE,0.0,MEDICAL,C,3000,12.54,0,0.1,N,3,31000.0,10.333333333333334,inf,1000.0
23,30000,RENT,4.0,DEBTCONSOLIDATION,C,13000,13.57,1,0.43,Y,2,30000.0,2.3076923076923075,7500.0,6500.0
22,36000,RENT,6.0,DEBTCONSOLIDATION,B,13000,11.14,1,0.36,N,4,36000.0,2.769230769230769,6000.0,3250.0
23,31000,MORTGAGE,6.0,EDUCATION,B,18500,,0,0.6,N,4,31000.0,1.6756756756756757,5166.666666666667,4625.0
24,37000,RENT,3.0,EDUCATION,B,13000,10.25,1,0.35,N,4,37000.0,2.8461538461538463,12333.333333333334,3250.0
23,31164,MORTGAGE,7.0,DEBTCONSOLIDATION,A,4500,6.62,0,0.14,N,2,31164.0,6.925333333333334,4452.0,2250.0
23,38000,RENT,4.0,EDUCATION,D,13000,,1,0.34,N,4,38000.0,2.923076923076923,9500.0,3250.0
23,38400,RENT,5.0,EDUCATION,B,13000,11.71,1,0.34,N,3,38400.0,2.953846153846154,7680.0,4333.333333333333
25,38400,RENT,0.0,DEBTCONSOLIDATION,B,13000,10.74,1,0.34,N,3,38400.0,2.953846153846154,inf,4333.333333333333
26,31200,MORTGAGE,6.0,PERSONAL,A,9250,7.9,0,0.3,N,2,31200.0,3.372972972972973,5200.0,4625.0
22,39000,RENT,5.0,DEBTCONSOLIDATION,B,13000,11.83,1,0.33,N,4,39000.0,3.0,7800.0,3250.0
25,40000,RENT,9.0,PERSONAL,B,13000,10.99,1,0.33,N,3,40000.0,3.076923076923077,4444.444444444444,4333.333333333333
24,40000,RENT,5.0,DEBTCONSOLIDATION,C,13000,14.26,1,0.33,N,3,40000.0,3.076923076923077,8000.0,4333.333333333333
25,31200,MORTGAGE,9.0,HOMEIMPROVEMENT,D,2400,17.58,1,0.08,Y,4,31200.0,13.0,3466.6666666666665,600.0
21,40800,RENT,3.0,MEDICAL,C,13000,13.57,1,0.32,Y,2,40800.0,3.1384615384615384,13600.0,6500.0
22,31200,MORTGAGE,3.0,VENTURE,B,3200,10.99,0,0.1,N,2,31200.0,9.75,10400.0,1600.0
26,36000,RENT,6.0,DEBTCONSOLIDATION,A,13000,5.99,1,0.36,N,4,36000.0,2.769230769230769,6000.0,3250.0
21,42000,RENT,5.0,EDUCATION,D,13000,15.31,1,0.31,N,3,42000.0,3.230769230769231,8400.0,4333.333333333333
22,43000,RENT,6.0,EDUCATION,C,13000,12.87,0,0.3,Y,4,43000.0,3.3076923076923075,7166.666666666667,3250.0
22,37200,RENT,0.0,VENTURE,E,13000,16.0,1,0.35,N,2,37200.0,2.8615384615384616,inf,6500.0
23,44000,RENT,1.0,EDUCATION,C,13000,13.47,0,0.3,N,2,44000.0,3.3846153846153846,44000.0,6500.0
23,44100,RENT,8.0,MEDICAL,A,13000,8.9,0,0.29,N,4,44100.0,3.3923076923076922,5512.5,3250.0
24,39000,RENT,4.0,EDUCATION,B,13000,10.75,1,0.33,N,4,39000.0,3.0,9750.0,3250.0
23,31200,MORTGAGE,7.0,DEBTCONSOLIDATION,B,7550,9.99,0,0.24,N,4,31200.0,4.132450331125828,4457.142857142857,1887.5
24,46000,RENT,8.0,PERSONAL,B,13000,10.99,0,0.28,N,3,46000.0,3.5384615384615383,5750.0,4333.333333333333
25,31200,MORTGAGE,3.0,MEDICAL,A,11200,5.42,0,0.36,N,2,31200.0,2.7857142857142856,10400.0,5600.0
24,46540,RENT,5.0,VENTURE,D,13000,,0,0.28,Y,2,46540.0,3.58,9308.0,6500.0
25,31200,MORTGAGE,9.0,DEBTCONSOLIDATION,A,6000,5.79,0,0.19,N,4,31200.0,5.2,3466.6666666666665,1500.0
22,48000,RENT,1.0,MEDICAL,B,13000,9.99,0,0.27,N,2,48000.0,3.6923076923076925,48000.0,6500.0
22,31200,MORTGAGE,4.0,MEDICAL,A,2000,7.29,0,0.06,N,3,31200.0,15.6,7800.0,666.6666666666666
26,48000,RENT,0.0,DEBTCONSOLIDATION,B,13000,11.26,0,0.27,N,3,48000.0,3.6923076923076925,inf,4333.333333333333
23,49000,RENT,0.0,PERSONAL,A,13000,6.17,0,0.27,N,4,49000.0,3.769230769230769,inf,3250.0
23,44000,RENT,7.0,DEBTCONSOLIDATION,D,13000,16.29,1,0.3,N,3,44000.0,3.3846153846153846,6285.714285714285,4333.333333333333
22,20640,RENT,0.0,EDUCATION,C,2500,12.68,0,0.12,N,3,20640.0,8.256,inf,833.3333333333334
26,31200,MORTGAGE,4.0,HOMEIMPROVEMENT,A,8400,7.51,0,0.27,N,3,31200.0,3.7142857142857144,7800.0,2800.0
25,21600,RENT,4.0,EDUCATION,A,2500,5.99,0,0.12,N,3,21600.0,8.64,5400.0,833.3333333333334
22,21996,RENT,0.0,MEDICAL,B,2500,11.89,0,0.11,N,2,21996.0,8.7984,inf,1250.0
21,22000,RENT,4.0,DEBTCONSOLIDATION,A,2500,7.14,0,0.11,N,4,22000.0,8.8,5500.0,625.0
22,31200,MORTGAGE,2.0,DEBTCONSOLIDATION,A,1050,7.51,1,0.03,N,4,31200.0,29.714285714285715,15600.0,262.5
23,22000,RENT,0.0,VENTURE,A,2500,7.51,0,0.11,N,2,22000.0,8.8,inf,1250.0
24,22000,RENT,0.0,DEBTCONSOLIDATION,B,2500,9.76,0,0.11,N,2,22000.0,8.8,inf,1250.0
21,22200,RENT,2.0,PERSONAL,D,2500,16.29,1,0.11,N,4,22200.0,8.88,11100.0,625.0
26,22406,RENT,5.0,PERSONAL,A,2500,6.76,1,0.11,N,4,22406.0,8.9624,4481.2,625.0
23,24000,RENT,0.0,EDUCATION,B,2500,11.71,0,0.1,N,2,24000.0,9.6,inf,1250.0
21,31200,MORTGAGE,2.0,EDUCATION,D,1000,14.59,0,0.03,N,2,31200.0,31.2,15600.0,500.0
24,24000,RENT,1.0,MEDICAL,B,2500,10.74,0,0.1,N,3,24000.0,9.6,24000.0,833.3333333333334
25,31200,MORTGAGE,0.0,EDUCATION,E,4750,,1,0.15,N,2,31200.0,6.568421052631579,inf,2375.0
24,31200,OWN,8.0,PERSONAL,B,10000,12.18,0,0.32,N,2,31200.0,3.12,3900.0,5000.0
22,31200,MORTGAGE,6.0,VENTURE,A,3500,7.74,0,0.11,N,2,31200.0,8.914285714285715,5200.0,1750.0
22,24960,RENT,0.0,VENTURE,A,2500,7.51,0,0.1,N,2,24960.0,9.984,inf,1250.0
24,31200,MORTGAGE,2.0,EDUCATION,C,6700,14.26,0,0.21,Y,2,31200.0,4.656716417910448,15600.0,3350.0
25,24996,RENT,8.0,VENTURE,C,2500,12.98,0,0.1,N,4,24996.0,9.9984,3124.5,625.0
22,24996,RENT,0.0,MEDICAL,B,2500,10.99,1,0.1,N,3,24996.0,9.9984,inf,833.3333333333334
23,25000,RENT,0.0,PERSONAL,A,2500,6.91,0,0.1,N,2,25000.0,10.0,inf,1250.0
24,25000,RENT,5.0,MEDICAL,C,2500,13.48,0,0.1,Y,4,25000.0,10.0,5000.0,625.0
22,25000,RENT,0.0,DEBTCONSOLIDATION,B,2500,11.14,0,0.1,N,3,25000.0,10.0,inf,833.3333333333334
22,31215,OWN,4.0,EDUCATION,B,14000,9.91,0,0.45,N,3,31215.0,2.2296428571428573,7803.75,4666.666666666667
26,31303,MORTGAGE,7.0,MEDICAL,A,12000,,0,0.38,N,2,31303.0,2.6085833333333333,4471.857142857143,6000.0
22,31356,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11225,,1,0.36,Y,2,31356.0,2.7934075723830736,5226.0,5612.5
25,26400,RENT,4.0,EDUCATION,B,2500,10.62,0,0.09,N,2,26400.0,10.56,6600.0,1250.0
21,26940,RENT,1.0,EDUCATION,A,2500,5.42,0,0.09,N,4,26940.0,10.776,26940.0,625.0
26,27000,RENT,0.0,EDUCATION,C,2500,13.61,0,0.09,N,4,27000.0,10.8,inf,625.0
25,27024,RENT,7.0,EDUCATION,E,2500,16.69,0,0.09,N,2,27024.0,10.8096,3860.5714285714284,1250.0
25,31500,MORTGAGE,4.0,EDUCATION,A,8250,7.51,0,0.26,N,4,31500.0,3.8181818181818183,7875.0,2062.5
26,27200,RENT,4.0,DEBTCONSOLIDATION,C,2500,13.49,0,0.09,N,4,27200.0,10.88,6800.0,625.0
22,31500,MORTGAGE,2.0,VENTURE,A,14000,8.9,0,0.44,N,3,31500.0,2.25,15750.0,4666.666666666667
22,31500,OWN,4.0,VENTURE,A,8000,6.03,0,0.25,N,2,31500.0,3.9375,7875.0,4000.0
21,28200,RENT,2.0,DEBTCONSOLIDATION,D,2500,16.77,1,0.09,Y,2,28200.0,11.28,14100.0,1250.0
24,28500,RENT,3.0,DEBTCONSOLIDATION,B,2500,11.36,0,0.09,N,4,28500.0,11.4,9500.0,625.0
24,29000,RENT,4.0,PERSONAL,B,2500,10.99,0,0.09,N,3,29000.0,11.6,7250.0,833.3333333333334
25,29000,RENT,2.0,VENTURE,C,2500,12.84,1,0.09,N,3,29000.0,11.6,14500.0,833.3333333333334
23,30000,RENT,7.0,MEDICAL,B,2500,9.88,0,0.08,N,2,30000.0,12.0,4285.714285714285,1250.0
22,31500,MORTGAGE,3.0,VENTURE,B,4500,9.88,0,0.14,N,2,31500.0,7.0,10500.0,2250.0
24,31000,RENT,1.0,EDUCATION,D,2500,14.54,1,0.08,Y,3,31000.0,12.4,31000.0,833.3333333333334
26,31200,RENT,4.0,VENTURE,B,2500,10.37,0,0.08,N,3,31200.0,12.48,7800.0,833.3333333333334
21,31544,MORTGAGE,4.0,MEDICAL,A,2200,7.9,0,0.07,N,2,31544.0,14.338181818181818,7886.0,1100.0
23,31577,OWN,6.0,EDUCATION,A,2500,6.92,0,0.08,N,4,31577.0,12.6308,5262.833333333333,625.0
21,32000,RENT,1.0,VENTURE,A,2500,7.4,0,0.08,N,3,32000.0,12.8,32000.0,833.3333333333334
25,33000,RENT,6.0,DEBTCONSOLIDATION,B,2500,10.59,0,0.08,N,2,33000.0,13.2,5500.0,1250.0
23,33448,RENT,2.0,EDUCATION,C,2500,11.66,0,0.07,Y,2,33448.0,13.3792,16724.0,1250.0
23,33500,RENT,2.0,EDUCATION,E,2500,15.68,1,0.07,Y,4,33500.0,13.4,16750.0,625.0
21,34368,RENT,0.0,DEBTCONSOLIDATION,C,2500,12.87,0,0.07,Y,2,34368.0,13.7472,inf,1250.0
21,31776,MORTGAGE,5.0,VENTURE,A,6000,8.9,0,0.19,N,3,31776.0,5.296,6355.2,2000.0
23,34800,RENT,7.0,EDUCATION,A,2500,6.39,0,0.07,N,2,34800.0,13.92,4971.428571428572,1250.0
26,35000,RENT,2.0,MEDICAL,A,2500,8.9,0,0.07,N,3,35000.0,14.0,17500.0,833.3333333333334
23,35000,RENT,0.0,DEBTCONSOLIDATION,A,2500,7.51,0,0.07,N,2,35000.0,14.0,inf,1250.0
24,29000,RENT,2.0,MEDICAL,D,2500,,1,0.09,N,4,29000.0,11.6,14500.0,625.0
22,30000,RENT,2.0,EDUCATION,A,2500,8.49,1,0.08,N,2,30000.0,12.0,15000.0,1250.0
21,30000,RENT,3.0,DEBTCONSOLIDATION,A,2500,7.14,1,0.08,N,4,30000.0,12.0,10000.0,625.0
22,30000,RENT,0.0,EDUCATION,C,2500,13.16,1,0.08,Y,4,30000.0,12.0,inf,625.0
25,31920,MORTGAGE,8.0,MEDICAL,C,4500,,0,0.14,Y,2,31920.0,7.093333333333334,3990.0,2250.0
26,37000,RENT,2.0,VENTURE,A,2500,7.14,0,0.07,N,3,37000.0,14.8,18500.0,833.3333333333334
26,37225,RENT,4.0,PERSONAL,C,2500,,0,0.07,N,3,37225.0,14.89,9306.25,833.3333333333334
26,31992,OTHER,0.0,VENTURE,A,6500,,0,0.2,N,4,31992.0,4.921846153846154,inf,1625.0
25,32000,RENT,1.0,MEDICAL,E,2500,16.45,1,0.08,Y,2,32000.0,12.8,32000.0,1250.0
25,38060,RENT,9.0,DEBTCONSOLIDATION,B,2500,12.53,0,0.07,N,2,38060.0,15.224,4228.888888888889,1250.0
23,39200,RENT,1.0,EDUCATION,A,2500,7.74,0,0.06,N,3,39200.0,15.68,39200.0,833.3333333333334
23,32000,MORTGAGE,7.0,EDUCATION,B,10000,11.71,0,0.31,N,2,32000.0,3.2,4571.428571428572,5000.0
24,40000,RENT,6.0,PERSONAL,C,2500,15.27,0,0.06,N,3,40000.0,16.0,6666.666666666667,833.3333333333334
25,40000,RENT,3.0,MEDICAL,B,2500,9.99,0,0.06,N,3,40000.0,16.0,13333.333333333334,833.3333333333334
23,40000,RENT,0.0,DEBTCONSOLIDATION,B,2500,,0,0.06,N,2,40000.0,16.0,inf,1250.0
25,32000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,5600,7.9,0,0.17,N,3,32000.0,5.714285714285714,4000.0,1866.6666666666667
22,34000,RENT,2.0,HOMEIMPROVEMENT,C,2500,13.57,1,0.07,Y,3,34000.0,13.6,17000.0,833.3333333333334
22,35500,RENT,6.0,MEDICAL,D,2500,15.62,1,0.07,N,2,35500.0,14.2,5916.666666666667,1250.0
24,36000,RENT,2.0,HOMEIMPROVEMENT,D,2500,16.77,1,0.07,N,3,36000.0,14.4,18000.0,833.3333333333334
21,42000,RENT,5.0,MEDICAL,B,2500,9.99,0,0.06,N,2,42000.0,16.8,8400.0,1250.0
22,32000,MORTGAGE,0.0,EDUCATION,A,1700,7.9,0,0.05,N,4,32000.0,18.823529411764707,inf,425.0
23,42000,RENT,0.0,EDUCATION,B,2500,11.49,0,0.06,N,2,42000.0,16.8,inf,1250.0
23,42000,RENT,4.0,EDUCATION,C,2500,13.61,0,0.06,N,4,42000.0,16.8,10500.0,625.0
22,42000,RENT,0.0,VENTURE,C,2500,13.92,0,0.06,Y,3,42000.0,16.8,inf,833.3333333333334
25,36228,RENT,4.0,MEDICAL,A,2500,7.66,1,0.07,N,2,36228.0,14.4912,9057.0,1250.0
21,32000,MORTGAGE,4.0,PERSONAL,B,2500,11.71,1,0.08,N,3,32000.0,12.8,8000.0,833.3333333333334
21,42500,RENT,0.0,DEBTCONSOLIDATION,B,2500,,0,0.06,N,2,42500.0,17.0,inf,1250.0
26,43000,RENT,3.0,EDUCATION,C,2500,13.49,0,0.06,N,2,43000.0,17.2,14333.333333333334,1250.0
22,37000,RENT,2.0,HOMEIMPROVEMENT,D,2500,17.49,1,0.07,N,3,37000.0,14.8,18500.0,833.3333333333334
25,45000,RENT,5.0,MEDICAL,B,2500,12.69,0,0.06,N,4,45000.0,18.0,9000.0,625.0
21,32000,MORTGAGE,4.0,MEDICAL,A,8000,5.99,0,0.25,N,3,32000.0,4.0,8000.0,2666.6666666666665
24,32000,MORTGAGE,5.0,HOMEIMPROVEMENT,A,6000,5.42,0,0.19,N,4,32000.0,5.333333333333333,6400.0,1500.0
23,32000,MORTGAGE,4.0,EDUCATION,A,2000,5.99,0,0.06,N,2,32000.0,16.0,8000.0,1000.0
22,45000,RENT,5.0,MEDICAL,C,2500,14.35,0,0.06,Y,2,45000.0,18.0,9000.0,1250.0
26,46000,RENT,10.0,DEBTCONSOLIDATION,A,2500,8.49,0,0.05,N,4,46000.0,18.4,4600.0,625.0
26,46500,RENT,1.0,DEBTCONSOLIDATION,C,2500,14.72,0,0.05,Y,3,46500.0,18.6,46500.0,833.3333333333334
26,47004,RENT,9.0,MEDICAL,D,2500,15.65,0,0.05,Y,3,47004.0,18.8016,5222.666666666667,833.3333333333334
22,32000,MORTGAGE,3.0,EDUCATION,A,6000,8.49,0,0.19,N,2,32000.0,5.333333333333333,10666.666666666666,3000.0
24,48000,RENT,4.0,EDUCATION,C,2500,13.35,0,0.05,N,4,48000.0,19.2,12000.0,625.0
22,49500,RENT,7.0,MEDICAL,C,2500,14.27,0,0.05,Y,2,49500.0,19.8,7071.428571428572,1250.0
26,32000,MORTGAGE,4.0,EDUCATION,A,4900,5.99,0,0.15,N,3,32000.0,6.530612244897959,8000.0,1633.3333333333333
22,45630,RENT,0.0,EDUCATION,E,2500,18.64,1,0.05,N,2,45630.0,18.252,inf,1250.0
23,51873,RENT,2.0,VENTURE,A,2500,,0,0.05,N,3,51873.0,20.7492,25936.5,833.3333333333334
22,32000,MORTGAGE,4.0,EDUCATION,A,11050,7.49,0,0.35,N,2,32000.0,2.8959276018099547,8000.0,5525.0
26,52000,RENT,6.0,DEBTCONSOLIDATION,C,2500,14.82,0,0.05,Y,2,52000.0,20.8,8666.666666666666,1250.0
24,46180,RENT,1.0,VENTURE,C,2500,13.98,1,0.05,Y,3,46180.0,18.472,46180.0,833.3333333333334
25,54000,RENT,4.0,PERSONAL,C,2500,13.98,0,0.05,N,2,54000.0,21.6,13500.0,1250.0
23,54000,RENT,7.0,EDUCATION,D,2500,16.32,0,0.05,Y,2,54000.0,21.6,7714.285714285715,1250.0
25,32000,MORTGAGE,3.0,PERSONAL,B,15000,11.11,0,0.47,N,4,32000.0,2.1333333333333333,10666.666666666666,3750.0
22,54996,RENT,6.0,DEBTCONSOLIDATION,C,2500,14.35,0,0.05,Y,4,54996.0,21.9984,9166.0,625.0
26,48996,RENT,8.0,DEBTCONSOLIDATION,D,2500,14.59,1,0.05,N,2,48996.0,19.5984,6124.5,1250.0
25,55000,RENT,4.0,PERSONAL,A,2500,7.88,0,0.05,N,2,55000.0,22.0,13750.0,1250.0
22,55000,RENT,5.0,EDUCATION,B,2500,,0,0.05,N,4,55000.0,22.0,11000.0,625.0
23,49000,RENT,1.0,DEBTCONSOLIDATION,F,2500,,1,0.05,N,2,49000.0,19.6,49000.0,1250.0
24,57600,RENT,8.0,EDUCATION,C,2500,14.72,0,0.04,Y,3,57600.0,23.04,7200.0,833.3333333333334
25,32000,MORTGAGE,7.0,PERSONAL,B,3250,10.74,1,0.1,N,2,32000.0,9.846153846153847,4571.428571428572,1625.0
23,59000,RENT,7.0,PERSONAL,D,2500,14.96,0,0.04,N,2,59000.0,23.6,8428.57142857143,1250.0
22,60000,RENT,5.0,DEBTCONSOLIDATION,C,2500,,0,0.04,Y,4,60000.0,24.0,12000.0,625.0
25,60000,RENT,9.0,PERSONAL,A,2500,8.63,0,0.04,N,3,60000.0,24.0,6666.666666666667,833.3333333333334
23,61000,RENT,3.0,DEBTCONSOLIDATION,A,2500,7.49,0,0.04,N,3,61000.0,24.4,20333.333333333332,833.3333333333334
26,32000,MORTGAGE,7.0,VENTURE,C,4800,12.61,0,0.15,Y,3,32000.0,6.666666666666667,4571.428571428572,1600.0
25,32000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,6250,11.49,0,0.2,N,3,32000.0,5.12,10666.666666666666,2083.3333333333335
23,63000,RENT,7.0,EDUCATION,C,2500,14.72,0,0.04,N,2,63000.0,25.2,9000.0,1250.0
26,64000,RENT,3.0,MEDICAL,B,2500,10.99,0,0.04,N,3,64000.0,25.6,21333.333333333332,833.3333333333334
25,65004,RENT,10.0,MEDICAL,B,2500,10.08,0,0.04,N,2,65004.0,26.0016,6500.4,1250.0
24,69996,RENT,3.0,DEBTCONSOLIDATION,B,2500,12.53,0,0.04,N,3,69996.0,27.9984,23332.0,833.3333333333334
24,32000,MORTGAGE,4.0,VENTURE,B,3000,10.75,0,0.09,N,4,32000.0,10.666666666666666,8000.0,750.0
22,54400,RENT,6.0,MEDICAL,D,2500,16.49,1,0.04,Y,3,54400.0,21.76,9066.666666666666,833.3333333333334
24,32000,MORTGAGE,7.0,VENTURE,A,4500,6.76,0,0.14,N,2,32000.0,7.111111111111111,4571.428571428572,2250.0
24,64000,RENT,4.0,HOMEIMPROVEMENT,B,2500,11.14,1,0.04,N,3,64000.0,25.6,16000.0,833.3333333333334
24,70082,RENT,5.0,VENTURE,C,2500,12.61,0,0.04,N,4,70082.0,28.0328,14016.4,625.0
24,79800,RENT,8.0,HOMEIMPROVEMENT,B,2500,9.62,0,0.03,N,2,79800.0,31.92,9975.0,1250.0
26,82400,RENT,10.0,VENTURE,C,2500,13.92,0,0.03,N,3,82400.0,32.96,8240.0,833.3333333333334
26,85000,RENT,1.0,EDUCATION,A,2500,8.59,0,0.03,N,2,85000.0,34.0,85000.0,1250.0
23,92500,RENT,6.0,VENTURE,B,2500,10.74,0,0.03,N,3,92500.0,37.0,15416.666666666666,833.3333333333334
24,32000,MORTGAGE,6.0,EDUCATION,A,12250,8.94,0,0.38,N,4,32000.0,2.6122448979591835,5333.333333333333,3062.5
23,112995,RENT,7.0,VENTURE,A,2500,7.37,0,0.02,N,3,112995.0,45.198,16142.142857142857,833.3333333333334
26,121000,RENT,2.0,EDUCATION,A,2500,7.66,0,0.02,N,4,121000.0,48.4,60500.0,625.0
26,200004,RENT,7.0,MEDICAL,C,2500,13.61,0,0.01,Y,2,190376.8000000002,76.15072000000008,27196.68571428574,1250.0
23,10560,RENT,0.0,DEBTCONSOLIDATION,B,2800,9.99,1,0.27,N,4,10560.0,3.7714285714285714,inf,700.0
23,13000,RENT,3.0,PERSONAL,D,2800,15.21,1,0.22,Y,2,13000.0,4.642857142857143,4333.333333333333,1400.0
25,13380,RENT,0.0,PERSONAL,D,2800,14.61,1,0.21,Y,2,13380.0,4.7785714285714285,inf,1400.0
22,14400,RENT,5.0,VENTURE,A,2800,6.54,1,0.19,N,3,14400.0,5.142857142857143,2880.0,933.3333333333334
22,32000,MORTGAGE,0.0,VENTURE,A,6950,7.74,0,0.22,N,3,32000.0,4.60431654676259,inf,2316.6666666666665
21,14800,RENT,5.0,DEBTCONSOLIDATION,A,2800,8.0,1,0.19,N,3,14800.0,5.285714285714286,2960.0,933.3333333333334
26,15000,RENT,1.0,EDUCATION,D,2800,15.31,1,0.19,Y,4,15000.0,5.357142857142857,15000.0,700.0
23,32000,MORTGAGE,4.0,VENTURE,A,1200,7.68,0,0.04,N,4,32000.0,26.666666666666668,8000.0,300.0
21,15600,RENT,0.0,MEDICAL,A,2800,7.4,1,0.18,N,4,15600.0,5.571428571428571,inf,700.0
23,32000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,15000,11.58,0,0.47,N,4,32000.0,2.1333333333333333,32000.0,3750.0
25,20800,RENT,0.0,HOMEIMPROVEMENT,D,2800,15.21,1,0.13,Y,4,20800.0,7.428571428571429,inf,700.0
21,32000,OWN,3.0,PERSONAL,E,4500,16.0,0,0.14,N,4,32000.0,7.111111111111111,10666.666666666666,1125.0
24,21168,RENT,3.0,VENTURE,C,2800,14.22,0,0.13,Y,4,21168.0,7.56,7056.0,700.0
22,23000,RENT,1.0,MEDICAL,F,2800,21.74,1,0.12,N,4,23000.0,8.214285714285714,23000.0,700.0
23,23760,RENT,2.0,DEBTCONSOLIDATION,B,2800,,0,0.12,N,2,23760.0,8.485714285714286,11880.0,1400.0
23,24000,RENT,2.0,MEDICAL,B,2800,11.49,1,0.12,N,4,24000.0,8.571428571428571,12000.0,700.0
25,32000,MORTGAGE,1.0,DEBTCONSOLIDATION,C,8000,13.16,0,0.25,N,2,32000.0,4.0,32000.0,4000.0
21,32000,MORTGAGE,5.0,DEBTCONSOLIDATION,B,4200,11.58,0,0.13,N,2,32000.0,7.619047619047619,6400.0,2100.0
25,32000,MORTGAGE,1.0,HOMEIMPROVEMENT,A,2500,7.68,1,0.08,N,3,32000.0,12.8,32000.0,833.3333333333334
22,32000,MORTGAGE,2.0,MEDICAL,C,7500,,0,0.23,Y,3,32000.0,4.266666666666667,16000.0,2500.0
23,26500,RENT,1.0,EDUCATION,C,2800,12.29,0,0.11,N,3,26500.0,9.464285714285714,26500.0,933.3333333333334
22,27000,RENT,3.0,MEDICAL,A,2800,7.51,1,0.1,N,3,27000.0,9.642857142857142,9000.0,933.3333333333334
22,32000,OWN,1.0,MEDICAL,B,1200,9.96,0,0.04,N,2,32000.0,26.666666666666668,32000.0,600.0
23,32000,MORTGAGE,0.0,HOMEIMPROVEMENT,D,2500,12.8,1,0.08,Y,3,32000.0,12.8,inf,833.3333333333334
23,28800,RENT,5.0,PERSONAL,B,2800,10.38,0,0.1,N,2,28800.0,10.285714285714286,5760.0,1400.0
22,29376,RENT,1.0,EDUCATION,A,2800,7.43,0,0.1,N,4,29376.0,10.491428571428571,29376.0,700.0
26,30000,RENT,4.0,VENTURE,C,2800,14.65,0,0.09,Y,3,30000.0,10.714285714285714,7500.0,933.3333333333334
22,19200,RENT,3.0,MEDICAL,C,2850,15.27,0,0.15,Y,4,19200.0,6.7368421052631575,6400.0,712.5
25,32004,MORTGAGE,4.0,MEDICAL,A,7200,5.42,0,0.22,N,4,32004.0,4.445,8001.0,1800.0
25,32004,MORTGAGE,3.0,PERSONAL,A,22750,6.17,0,0.71,N,4,32004.0,1.4067692307692308,10668.0,5687.5
24,45000,RENT,3.0,MEDICAL,D,2850,11.86,0,0.06,N,2,45000.0,15.789473684210526,15000.0,1425.0
23,32004,OWN,0.0,EDUCATION,E,9250,17.19,0,0.29,N,4,32004.0,3.4598918918918917,inf,2312.5
22,90000,RENT,5.0,VENTURE,A,2850,5.99,0,0.03,N,3,90000.0,31.57894736842105,18000.0,950.0
23,28000,RENT,2.0,VENTURE,C,2875,15.23,0,0.1,Y,3,28000.0,9.73913043478261,14000.0,958.3333333333334
25,36800,RENT,1.0,MEDICAL,C,2875,11.28,0,0.08,Y,4,36800.0,12.8,36800.0,718.75
22,32004,MORTGAGE,6.0,EDUCATION,A,10000,7.51,0,0.31,N,2,32004.0,3.2004,5334.0,5000.0
26,66000,RENT,0.0,DEBTCONSOLIDATION,A,2875,7.49,0,0.04,N,2,66000.0,22.956521739130434,inf,1437.5
24,32004,MORTGAGE,5.0,VENTURE,C,14000,12.73,0,0.44,N,4,32004.0,2.286,6400.8,3500.0
21,19000,RENT,0.0,PERSONAL,A,2900,8.0,0,0.15,N,2,19000.0,6.551724137931035,inf,1450.0
26,31200,RENT,0.0,MEDICAL,B,2900,9.91,0,0.09,N,2,31200.0,10.758620689655173,inf,1450.0
22,31500,RENT,3.0,DEBTCONSOLIDATION,D,2900,,1,0.09,N,4,31500.0,10.862068965517242,10500.0,725.0
25,50000,RENT,0.0,EDUCATION,A,2900,8.0,0,0.06,N,4,50000.0,17.24137931034483,inf,725.0
22,27000,RENT,5.0,PERSONAL,B,2925,10.71,0,0.11,N,4,27000.0,9.23076923076923,5400.0,731.25
22,32004,MORTGAGE,6.0,EDUCATION,B,10000,10.83,0,0.31,N,3,32004.0,3.2004,5334.0,3333.3333333333335
22,32004,OWN,0.0,EDUCATION,A,6600,9.07,0,0.21,N,3,32004.0,4.849090909090909,inf,2200.0
22,25000,RENT,0.0,VENTURE,B,2975,9.96,0,0.12,N,2,25000.0,8.403361344537815,inf,1487.5
21,49800,RENT,6.0,EDUCATION,A,2975,7.9,0,0.06,N,2,49800.0,16.73949579831933,8300.0,1487.5
22,32112,MORTGAGE,4.0,PERSONAL,C,15000,13.98,0,0.47,N,3,32112.0,2.1408,8028.0,5000.0
24,10000,RENT,8.0,PERSONAL,A,3000,7.9,1,0.3,N,3,10000.0,3.3333333333333335,1250.0,1000.0
23,32198,MORTGAGE,3.0,EDUCATION,B,1000,10.95,0,0.03,N,2,32198.0,32.198,10732.666666666666,500.0
21,12000,RENT,5.0,EDUCATION,A,3000,8.9,1,0.25,N,4,12000.0,4.0,2400.0,750.0
21,12000,RENT,0.0,VENTURE,A,3000,7.88,1,0.25,N,3,12000.0,4.0,inf,1000.0
23,13200,RENT,0.0,DEBTCONSOLIDATION,C,3000,,1,0.23,N,3,13200.0,4.4,inf,1000.0
